date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:12	2965/2965	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Jul%202024%2007:49:12%20GMT	https://opencoursehub.online/robots.txt		(from )
13:19:13	27637/27637	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Jul%202024%2007:49:13%20GMT	https://opencoursehub.online/	OpenCourseWeb/opencoursehub.online/index.html	(from )
13:19:13	3429/3429	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20May%202024%2004:07:24%20GMT	https://opencoursehub.online/static/js/i18n/en/djangojs.0f66acafc573.js	OpenCourseWeb/opencoursehub.online/static/js/i18n/en/djangojs.0f66acafc573.js	(from https://opencoursehub.online/)
13:19:14	1737/1737	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20May%202024%2004:07:26%20GMT	https://opencoursehub.online/static/js/ie11_find_array.67b5a9edd5d5.js	OpenCourseWeb/opencoursehub.online/static/js/ie11_find_array.67b5a9edd5d5.js	(from https://opencoursehub.online/)
13:19:15	12206/12206	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2005%20May%202024%2004:07:13%20GMT	https://opencoursehub.online/static/indigo/images/favicon.a30c5b7f3b1c.ico	OpenCourseWeb/opencoursehub.online/static/indigo/images/favicon.a30c5b7f3b1c.ico	(from https://opencoursehub.online/)
13:19:17	36962/36962	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20May%202024%2004:07:27%20GMT	https://opencoursehub.online/static/indigo/css/lms-style-vendor.68e48093f5dd.css	OpenCourseWeb/opencoursehub.online/static/indigo/css/lms-style-vendor.68e48093f5dd.css	(from https://opencoursehub.online/)
13:19:18	1072484/1072484	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20May%202024%2004:07:24%20GMT	https://opencoursehub.online/static/indigo/css/lms-main-v1.be282bf2a533.css	OpenCourseWeb/opencoursehub.online/static/indigo/css/lms-main-v1.be282bf2a533.css	(from https://opencoursehub.online/)
13:19:20	586296/586296	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20May%202024%2004:07:27%20GMT	https://opencoursehub.online/static/js/lms-main_vendor.211c5a13e466.js	OpenCourseWeb/opencoursehub.online/static/js/lms-main_vendor.211c5a13e466.js	(from https://opencoursehub.online/)
13:19:20	1244436/1244436	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20May%202024%2004:07:27%20GMT	https://opencoursehub.online/static/js/lms-application.e137e602d358.js	OpenCourseWeb/opencoursehub.online/static/js/lms-application.e137e602d358.js	(from https://opencoursehub.online/)
13:19:22	9107/9107	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20May%202024%2004:07:24%20GMT	https://opencoursehub.online/static/lms/js/require-config.dc07836174b8.js	OpenCourseWeb/opencoursehub.online/static/lms/js/require-config.dc07836174b8.js	(from https://opencoursehub.online/)
13:19:22	8759/8759	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Jul%202024%2007:49:22%20GMT	https://opencoursehub.online/static/	OpenCourseWeb/opencoursehub.online/static/index.html	(from https://opencoursehub.online/)
13:19:22	418372/418372	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20May%202024%2004:07:25%20GMT	https://opencoursehub.online/static/bundles/commons.49e16cd152ffd27a766e.d4c3538ac3c9.js	OpenCourseWeb/opencoursehub.online/static/bundles/commons.49e16cd152ffd27a766e.d4c3538ac3c9.js	(from https://opencoursehub.online/)
13:19:22	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2007%20Jul%202024%2007:49:23%20GMT	https://opencoursehub.online/dashboard	OpenCourseWeb/opencoursehub.online/dashboard.9.delayed	(from https://opencoursehub.online/)
